Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
404.38702,-34.992657,-170.39095,0,1/1/2018 1:11,2018,1,1
403.77023,-33.123302,-170.79124,0,1/1/2018 1:11,2018,1,1
404.40448,-32.88656,-170.82378,0,1/1/2018 1:11,2018,1,1
404.3271,-31.713314,-171.17484,0,1/1/2018 1:12,2018,1,1
404.31644,-23.957016,-173.00636,0,1/1/2018 1:14,2018,1,1
404.8655,-16.358906,-174.68028,0,1/1/2018 1:16,2018,1,1
404.89465,-16.126123,-174.73729,0,1/1/2018 1:16,2018,1,1
405.02072,-15.82491,-174.82933,0,1/1/2018 1:16,2018,1,1
405.28656,-15.659858,-174.84155,0,1/1/2018 1:16,2018,1,1
405.2273,-15.526037,-174.86224,0,1/1/2018 1:17,2018,1,1
404.76877,-15.474745,-174.89185,0,1/1/2018 1:17,2018,1,1
405.13913,-15.162786,-174.94736,0,1/1/2018 1:17,2018,1,1
404.39557,-15.053307,-174.98068,0,1/1/2018 1:17,2018,1,1
405.32697,-14.890683,-175.00446,0,1/1/2018 1:17,2018,1,1
404.87643,-14.871416,-175.03925,0,1/1/2018 1:17,2018,1,1
404.08914,-14.778122,-175.05975,0,1/1/2018 1:17,2018,1,1
404.2988,-14.615603,-175.0822,0,1/1/2018 1:17,2018,1,1
404.29407,-14.3986225,-175.12595,0,1/1/2018 1:17,2018,1,1
404.41782,-14.253976,-175.14612,0,1/1/2018 1:17,2018,1,1
404.22437,-14.192215,-175.17139,0,1/1/2018 1:17,2018,1,1
405.60873,-14.048305,-175.19185,0,1/1/2018 1:17,2018,1,1
404.33353,-13.968329,-175.221,0,1/1/2018 1:17,2018,1,1
404.9076,-13.850532,-175.25896,0,1/1/2018 1:17,2018,1,1
404.11307,-13.706332,-175.27872,0,1/1/2018 1:17,2018,1,1
404.10223,-13.644843,-175.30412,0,1/1/2018 1:17,2018,1,1
403.74295,-13.551434,-175.32483,0,1/1/2018 1:17,2018,1,1
404.52176,-13.468809,-175.3469,0,1/1/2018 1:17,2018,1,1
404.6059,-13.375326,-175.3673,0,1/1/2018 1:17,2018,1,1
404.24615,-13.281893,-175.38765,0,1/1/2018 1:17,2018,1,1
404.22018,-13.188588,-175.40817,0,1/1/2018 1:17,2018,1,1
403.7946,-13.095196,-175.42876,0,1/1/2018 1:17,2018,1,1
403.70184,-12.929648,-175.44801,0,1/1/2018 1:17,2018,1,1
403.47568,-12.857548,-175.4712,0,1/1/2018 1:17,2018,1,1
404.40466,-12.785614,-175.4943,0,1/1/2018 1:17,2018,1,1
403.9752,-12.692207,-175.51451,0,1/1/2018 1:17,2018,1,1
404.22455,-12.537312,-175.5345,0,1/1/2018 1:17,2018,1,1
404.8339,-12.425098,-175.55974,0,1/1/2018 1:17,2018,1,1
404.28098,-12.229885,-175.60663,0,1/1/2018 1:18,2018,1,1
404.08218,-12.023597,-175.6504,0,1/1/2018 1:18,2018,1,1
403.6657,-11.962022,-175.67291,0,1/1/2018 1:18,2018,1,1
405.21625,-11.80179,-175.70523,0,1/1/2018 1:18,2018,1,1
404.3067,-8.225141,-176.49718,0,1/1/2018 1:19,2018,1,1
405.07718,-8.024613,-176.53625,0,1/1/2018 1:19,2018,1,1
404.50513,-7.749699,-176.5934,0,1/1/2018 1:19,2018,1,1
404.76306,-7.7318215,-176.60728,0,1/1/2018 1:19,2018,1,1
404.54263,-7.5765643,-176.63539,0,1/1/2018 1:19,2018,1,1
404.4638,-7.3011765,-176.69316,0,1/1/2018 1:19,2018,1,1
405.00018,-7.165332,-176.72668,0,1/1/2018 1:19,2018,1,1
404.7101,-7.0717053,-176.74757,0,1/1/2018 1:19,2018,1,1
404.44983,-6.978296,-176.76848,0,1/1/2018 1:19,2018,1,1
404.93625,-6.8849807,-176.78888,0,1/1/2018 1:19,2018,1,1
404.77197,-6.791761,-176.80963,0,1/1/2018 1:19,2018,1,1
404.68048,-6.5190887,-176.86906,0,1/1/2018 1:19,2018,1,1
404.36304,-6.447147,-176.88683,0,1/1/2018 1:19,2018,1,1
404.83475,-6.3862495,-176.90385,0,1/1/2018 1:19,2018,1,1
404.19492,-6.2930865,-176.92427,0,1/1/2018 1:19,2018,1,1
404.83698,-5.9883513,-176.98737,0,1/1/2018 1:19,2018,1,1
405.12933,-5.9057183,-177.00696,0,1/1/2018 1:19,2018,1,1
405.44687,-5.8127193,-177.0285,0,1/1/2018 1:19,2018,1,1
404.48264,-5.6267743,-177.07118,0,1/1/2018 1:19,2018,1,1
403.8646,-5.247775,-177.15186,0,1/1/2018 1:20,2018,1,1
404.73096,-5.045267,-177.1988,0,1/1/2018 1:20,2018,1,1
403.9817,-4.909389,-177.23035,0,1/1/2018 1:20,2018,1,1
404.91492,-3.2268727,-177.60461,0,1/1/2018 1:20,2018,1,1
